,state,district,name,party,office_room,phone,committee,page_link
25,California,4th,"Thompson, Mike",D,268 CHOB,(202) 225-3311,Ways and Means,https://mikethompson.house.gov/
26,California,5th,"McClintock, Tom",R,2256 RHOB,(202) 225-2511,Budget|Natural Resources|Judiciary,https://mcclintock.house.gov/
27,California,6th,"Bera, Ami",D,172 CHOB,(202) 225-5716,Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,https://bera.house.gov
28,California,7th,"Matsui, Doris",D,2311 RHOB,(202) 225-7163,Energy and Commerce,https://matsui.house.gov
29,California,8th,"Garamendi, John",D,2004 RHOB,(202) 225-1880,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure,https://garamendi.house.gov/
30,California,9th,"Harder, Josh",D,209 CHOB,(202) 225-4540,Appropriations,https://harder.house.gov/
31,California,10th,"DeSaulnier, Mark",D,503 CHOB,(202) 225-2095,Education and the Workforce|Transportation and Infrastructure|Ethics,https://desaulnier.house.gov/
32,California,11th,"Pelosi, Nancy",D,1236 LHOB,(202) 225-4965,,https://pelosi.house.gov/
33,California,12th,"Lee, Barbara",D,2470 RHOB,(202) 225-2661,Appropriations|Budget,https://lee.house.gov/
34,California,13th,"Duarte, John",R,1535 LHOB,(202) 225-1947,Agriculture|Natural Resources|Transportation and Infrastructure,https://duarte.house.gov
35,California,14th,"Swalwell, Eric",D,174 CHOB,(202) 225-5065,Homeland Security|Judiciary,https://swalwell.house.gov
36,California,15th,"Mullin, Kevin",D,1404 LHOB,(202) 225-3531,"Natural Resources|Science, Space, and Technology",https://kevinmullin.house.gov
37,California,16th,"Eshoo, Anna",D,272 CHOB,(202) 225-8104,Energy and Commerce,https://eshoo.house.gov/
38,California,17th,"Khanna, Ro",D,306 CHOB,(202) 225-2631,Armed Services|Oversight and Accountability|Select Comm on the Strategic Competition US and China,https://khanna.house.gov
39,California,18th,"Lofgren, Zoe",D,1401 LHOB,(202) 225-3072,"Judiciary|Science, Space, and Technology",https://lofgren.house.gov/
40,California,19th,"Panetta, Jimmy",D,304 CHOB,(202) 225-2861,Armed Services|Budget|Ways and Means,https://panetta.house.gov
41,California,20th,"Fong, Vince",R,2468 RHOB,(202) 225-2915,"Transportation and Infrastructure|Science, Space, and Technology",https://fong.house.gov/
42,California,21st,"Costa, Jim",D,2081 RHOB,(202) 225-3341,Agriculture|Foreign Affairs,https://costa.house.gov/
43,California,22nd,"Valadao, David",R,2465 RHOB,(202) 225-4695,Appropriations|Budget|Joint Committee of Congress on the Library,https://valadao.house.gov
44,California,23rd,"Obernolte, Jay",R,1029 LHOB,(202) 225-5861,"Energy and Commerce|Science, Space, and Technology",https://obernolte.house.gov
45,California,24th,"Carbajal, Salud",D,2331 RHOB,(202) 225-3601,Agriculture|Armed Services|Transportation and Infrastructure,https://carbajal.house.gov
46,California,25th,"Ruiz, Raul",D,2342 RHOB,(202) 225-5330,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://ruiz.house.gov
47,California,26th,"Brownley, Julia",D,2262 RHOB,(202) 225-5811,Transportation and Infrastructure|Veterans' Affairs,https://juliabrownley.house.gov
48,California,27th,"Garcia, Mike",R,144 CHOB,(202) 225-1956,"Appropriations|Intelligence|Science, Space, and Technology",https://mikegarcia.house.gov/
49,California,28th,"Chu, Judy",D,2423 RHOB,(202) 225-5464,Small Business|Ways and Means,https://chu.house.gov/
50,California,29th,"Cardenas, Tony",D,2181 RHOB,(202) 225-6131,Energy and Commerce,https://cardenas.house.gov
51,California,30th,"Schiff, Adam",D,2309 RHOB,(202) 225-4176,Judiciary,https://schiff.house.gov/
52,California,31st,"Napolitano, Grace",D,1610 LHOB,(202) 225-5256,Natural Resources|Transportation and Infrastructure,https://napolitano.house.gov/
53,California,32nd,"Sherman, Brad",D,2365 RHOB,(202) 225-5911,Financial Services|Foreign Affairs,https://sherman.house.gov
54,California,33rd,"Aguilar, Pete",D,108 CHOB,(202) 225-3201,Appropriations,https://aguilar.house.gov/
55,California,34th,"Gomez, Jimmy",D,506 CHOB,(202) 225-6235,Intelligence|Ways and Means,https://gomez.house.gov/
56,California,35th,"Torres, Norma",D,2227 RHOB,(202) 225-6161,Appropriations|House Administration,https://torres.house.gov/
57,California,36th,"Lieu, Ted",D,2454 RHOB,(202) 225-3976,Foreign Affairs|Judiciary,https://lieu.house.gov/
58,California,37th,"Kamlager-Dove, Sydney",D,1419 LHOB,(202) 225-7084,Foreign Affairs|Natural Resources,https://kamlager-dove.house.gov
59,California,38th,"Sanchez, Linda",D,2428 RHOB,(202) 225-6676,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://lindasanchez.house.gov/
60,California,39th,"Takano, Mark",D,2078 RHOB,(202) 225-2305,Education and the Workforce|Veterans' Affairs,https://takano.house.gov
61,California,40th,"Kim, Young",R,1306 LHOB,(202) 225-4111,Financial Services|Foreign Affairs,https://youngkim.house.gov
62,California,41st,"Calvert, Ken",R,2205 RHOB,(202) 225-1986,Appropriations,https://calvert.house.gov/
63,California,42nd,"Garcia, Robert",D,1305 LHOB,(202) 225-7924,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://robertgarcia.house.gov
64,California,43rd,"Waters, Maxine",D,2221 RHOB,(202) 225-2201,Financial Services,https://waters.house.gov
65,California,44th,"Barragan, Nanette",D,2312 RHOB,(202) 225-8220,Energy and Commerce,https://barragan.house.gov
66,California,45th,"Steel, Michelle",R,1127 LHOB,(202) 225-2415,Education and the Workforce|Ways and Means|Select Comm on the Strategic Competition US and China,https://steel.house.gov
67,California,46th,"Correa, J.",D,2301 RHOB,(202) 225-2965,Homeland Security|Judiciary,https://correa.house.gov
68,California,47th,"Porter, Katie",D,1233 LHOB,(202) 225-5611,Oversight and Accountability|Natural Resources,https://porter.house.gov/
69,California,48th,"Issa, Darrell",R,2108 RHOB,(202) 225-5672,"Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Science, Space, and Technology",https://issa.house.gov
70,California,49th,"Levin, Mike",D,2352 RHOB,(202) 225-3906,Natural Resources|Veterans' Affairs,https://levin.house.gov/
71,California,50th,"Peters, Scott",D,1201 LHOB,(202) 225-0508,Budget|Energy and Commerce,https://scottpeters.house.gov
72,California,51st,"Jacobs, Sara",D,1314 LHOB,(202) 225-2040,Armed Services|Foreign Affairs,https://sarajacobs.house.gov
73,California,52nd,"Vargas, Juan",D,2334 RHOB,(202) 225-8045,Financial Services,https://vargas.house.gov
74,Colorado,1st,"DeGette, Diana",D,2111 RHOB,(202) 225-4431,Energy and Commerce,https://degette.house.gov
75,Colorado,2nd,"Neguse, Joe",D,2400 RHOB,(202) 225-2161,Natural Resources|Judiciary|Rules,https://neguse.house.gov/
76,Colorado,3rd,"Boebert, Lauren",R,1713 LHOB,(202) 225-4761,Oversight and Accountability|Natural Resources,https://boebert.house.gov
77,Colorado,4th,"Lopez, Greg",R,2455 RHOB,(202) 225-4676,"Budget|Science, Space, and Technology",https://lopez.house.gov/
78,Colorado,5th,"Lamborn, Doug",R,2371 RHOB,(202) 225-4422,Armed Services|Natural Resources,https://lamborn.house.gov/
79,Colorado,6th,"Crow, Jason",D,1323 LHOB,(202) 225-7882,Foreign Affairs|Intelligence,https://crow.house.gov/
80,Colorado,7th,"Pettersen, Brittany",D,1230 LHOB,(202) 225-2645,Financial Services,https://pettersen.house.gov
81,Colorado,8th,"Caraveo, Yadira",D,1024 LHOB,(202) 225-5625,"Agriculture|Science, Space, and Technology",https://caraveo.house.gov
82,Connecticut,1st,"Larson, John",D,1501 LHOB,(202) 225-2265,Ways and Means,https://larson.house.gov/
83,Connecticut,2nd,"Courtney, Joe",D,2449 RHOB,(202) 225-2076,Armed Services|Education and the Workforce,https://courtney.house.gov/
84,Connecticut,3rd,"DeLauro, Rosa",D,2413 RHOB,(202) 225-3661,Appropriations,https://delauro.house.gov/
85,Connecticut,4th,"Himes, James",D,2137 RHOB,(202) 225-5541,Financial Services|Intelligence,https://himes.house.gov/
86,Connecticut,5th,"Hayes, Jahana",D,2458 RHOB,(202) 225-4476,Agriculture|Education and the Workforce,https://hayes.house.gov
87,Delaware,At Large,"Blunt Rochester, Lisa",D,1724 LHOB,(202) 225-4165,Energy and Commerce,https://bluntrochester.house.gov
88,District of Columbia,Delegate,"Norton, Eleanor",D,2136 RHOB,(202) 225-8050,Oversight and Accountability|Transportation and Infrastructure,https://norton.house.gov/
89,Florida,1st,"Gaetz, Matt",R,2021 RHOB,(202) 225-4136,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,https://gaetz.house.gov
90,Florida,2nd,"Dunn, Neal",R,466 CHOB,(202) 225-5235,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://dunn.house.gov
91,Florida,3rd,"Cammack, Kat",R,2421 RHOB,(202) 225-5744,Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce,https://cammack.house.gov
92,Florida,4th,"Bean, Aaron",R,1239 LHOB,(202) 225-0123,Education and the Workforce|Transportation and Infrastructure|Small Business,https://bean.house.gov
93,Florida,5th,"Rutherford, John",R,1711 LHOB,(202) 225-2501,Appropriations|Ethics,https://rutherford.house.gov
94,Florida,6th,"Waltz, Michael",R,244 CHOB,(202) 225-2706,Armed Services|Foreign Affairs|Oversight and Accountability|Intelligence,https://waltz.house.gov
95,Florida,7th,"Mills, Cory",R,1237 LHOB,(202) 225-4035,Armed Services|Foreign Affairs,https://mills.house.gov
96,Florida,8th,"Posey, Bill",R,2150 RHOB,(202) 225-3671,"Financial Services|Science, Space, and Technology",https://posey.house.gov/
97,Florida,9th,"Soto, Darren",D,2353 RHOB,(202) 225-9889,Agriculture|Energy and Commerce,https://soto.house.gov
98,Florida,10th,"Frost, Maxwell",D,1224 LHOB,(202) 225-2176,"Oversight and Accountability|Science, Space, and Technology",https://frost.house.gov
99,Florida,11th,"Webster, Daniel",R,2184 RHOB,(202) 225-1002,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://webster.house.gov/
100,Florida,12th,"Bilirakis, Gus",R,2306 RHOB,(202) 225-5755,Energy and Commerce,https://bilirakis.house.gov/
101,Florida,13th,"Luna, Anna Paulina",R,1017 LHOB,(202) 225-5961,Oversight and Accountability|Natural Resources,https://luna.house.gov
102,Florida,14th,"Castor, Kathy",D,2052 RHOB,(202) 225-3376,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://castor.house.gov/
103,Florida,15th,"Lee, Laurel",R,1118 LHOB,(202) 225-5626,House Administration|Homeland Security|Judiciary,https://laurellee.house.gov
104,Florida,16th,"Buchanan, Vern",R,2110 RHOB,(202) 225-5015,Joint Committee on Taxation|Ways and Means,https://buchanan.house.gov/
105,Florida,17th,"Steube, W.",R,2457 RHOB,(202) 225-5792,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://steube.house.gov/
106,Florida,18th,"Franklin, Scott",R,249 CHOB,(202) 225-1252,"Appropriations|Science, Space, and Technology|Veterans' Affairs",https://franklin.house.gov
107,Florida,19th,"Donalds, Byron",R,1719 LHOB,(202) 225-2536,Financial Services|Oversight and Accountability,https://donalds.house.gov
108,Florida,20th,"Cherfilus-McCormick, Sheila",D,242 CHOB,(202) 225-1313,Foreign Affairs|Veterans' Affairs,https://cherfilus-mccormick.house.gov/
109,Florida,21st,"Mast, Brian",R,2182 RHOB,(202) 225-3026,Foreign Affairs|Transportation and Infrastructure,https://mast.house.gov
110,Florida,22nd,"Frankel, Lois",D,2305 RHOB,(202) 225-9890,Appropriations,https://frankel.house.gov
111,Florida,23rd,"Moskowitz, Jared",D,1130 LHOB,(202) 225-3001,Foreign Affairs|Oversight and Accountability,https://moskowitz.house.gov
112,Florida,24th,"Wilson, Frederica",D,2080 RHOB,(202) 225-4506,Education and the Workforce|Transportation and Infrastructure,https://wilson.house.gov/
113,Florida,25th,"Wasserman Schultz, Debbie",D,270 CHOB,(202) 225-7931,Appropriations|Select Subcommittee on the Weaponization of the Fed Govt,https://wassermanschultz.house.gov/
114,Florida,26th,"Diaz-Balart, Mario",R,374 CHOB,(202) 225-4211,Appropriations,https://mariodiazbalart.house.gov/
115,Florida,27th,"Salazar, Maria",R,2162 RHOB,(202) 225-3931,Foreign Affairs|Small Business,https://salazar.house.gov
116,Florida,28th,"Gimenez, Carlos",R,448 CHOB,(202) 225-2778,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China,https://gimenez.house.gov
117,Georgia,1st,"Carter, Earl",R,2432 RHOB,(202) 225-5831,Budget|Energy and Commerce,https://buddycarter.house.gov/
118,Georgia,2nd,"Bishop, Sanford",D,2407 RHOB,(202) 225-3631,Agriculture|Appropriations,https://bishop.house.gov/
119,Georgia,3rd,"Ferguson, A.",R,2239 RHOB,(202) 225-5901,Budget|Ways and Means,https://ferguson.house.gov
120,Georgia,4th,"Johnson, Henry",D,2240 RHOB,(202) 225-1605,Judiciary|Transportation and Infrastructure,https://hankjohnson.house.gov/
121,Georgia,5th,"Williams, Nikema",D,1406 LHOB,(202) 225-3801,Financial Services,https://nikemawilliams.house.gov
122,Georgia,6th,"McCormick, Richard",R,1213 LHOB,(202) 225-4272,"Armed Services|Foreign Affairs|Science, Space, and Technology|Select Subcommittee on the Coronavirus Pandemic",https://mccormick.house.gov
123,Georgia,7th,"McBath, Lucy",D,2246 RHOB,(202) 225-4501,Education and the Workforce|Judiciary,https://mcbath.house.gov
124,Georgia,8th,"Scott, Austin",R,2185 RHOB,(202) 225-6531,Agriculture|Armed Services|Intelligence|Rules,https://austinscott.house.gov/
125,Georgia,9th,"Clyde, Andrew",R,445 CHOB,(202) 225-9893,Appropriations,https://clyde.house.gov
126,Georgia,10th,"Collins, Mike",R,1223 LHOB,(202) 225-4101,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://collins.house.gov
127,Georgia,11th,"Loudermilk, Barry",R,2133 RHOB,(202) 225-2931,Financial Services|House Administration,https://loudermilk.house.gov
128,Georgia,12th,"Allen, Rick",R,462 CHOB,(202) 225-2823,Education and the Workforce|Energy and Commerce,https://allen.house.gov
129,Georgia,13th,"Scott, David",D,468 CHOB,(202) 225-2939,Agriculture|Financial Services,https://davidscott.house.gov/
130,Georgia,14th,"Greene, Marjorie",R,403 CHOB,(202) 225-5211,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://greene.house.gov
131,Guam,Delegate,"Moylan, James",R,1628 LHOB,(202) 225-1188,Armed Services|Foreign Affairs|Natural Resources,https://moylan.house.gov
132,Hawaii,1st,"Case, Ed",D,2210 RHOB,(202) 225-2726,Appropriations|Natural Resources,https://case.house.gov/
133,Hawaii,2nd,"Tokuda, Jill",D,1005 LHOB,(202) 225-4906,Agriculture|Armed Services|Select Subcommittee on the Coronavirus Pandemic,https://tokuda.house.gov
134,Idaho,1st,"Fulcher, Russ",R,1514 LHOB,(202) 225-6611,Energy and Commerce|Natural Resources,https://fulcher.house.gov/
135,Idaho,2nd,"Simpson, Michael",R,2084 RHOB,(202) 225-5531,Appropriations,https://simpson.house.gov
136,Illinois,1st,"Jackson, Jonathan",D,1641 LHOB,(202) 225-4372,Agriculture|Foreign Affairs,https://jonathanjackson.house.gov
137,Illinois,2nd,"Kelly, Robin",D,2329 RHOB,(202) 225-0773,Energy and Commerce,https://robinkelly.house.gov/
138,Illinois,3rd,"Ramirez, Delia",D,1523 LHOB,(202) 225-5701,Homeland Security|Veterans' Affairs,https://ramirez.house.gov
139,Illinois,4th,"Garcia, Jesus",D,1519 LHOB,(202) 225-8203,Judiciary|Transportation and Infrastructure,https://chuygarcia.house.gov/
140,Illinois,5th,"Quigley, Mike",D,2083 RHOB,(202) 225-4061,Appropriations,https://quigley.house.gov/
141,Illinois,6th,"Casten, Sean",D,2440 RHOB,(202) 225-4561,"Financial Services|Science, Space, and Technology",https://casten.house.gov
142,Illinois,7th,"Davis, Danny",D,2159 RHOB,(202) 225-5006,Ways and Means,https://davis.house.gov
143,Illinois,8th,"Krishnamoorthi, Raja",D,2367 RHOB,(202) 225-3711,Oversight and Accountability|Intelligence|Select Comm on the Strategic Competition US and China,https://krishnamoorthi.house.gov
144,Illinois,9th,"Schakowsky, Janice",D,2408 RHOB,(202) 225-2111,Budget|Energy and Commerce,https://schakowsky.house.gov
145,Illinois,10th,"Schneider, Bradley",D,300 CHOB,(202) 225-4835,Foreign Affairs|Ways and Means,https://schneider.house.gov
146,Illinois,11th,"Foster, Bill",D,2366 RHOB,(202) 225-3515,Financial Services,https://foster.house.gov
147,Illinois,12th,"Bost, Mike",R,352 CHOB,(202) 225-5661,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/
148,Illinois,13th,"Budzinski, Nikki",D,1009 LHOB,(202) 225-2371,Agriculture|Veterans' Affairs,https://budzinski.house.gov
149,Illinois,14th,"Underwood, Lauren",D,1410 LHOB,(202) 225-2976,Appropriations,https://underwood.house.gov/
150,Illinois,15th,"Miller, Mary",R,1740 LHOB,(202) 225-5271,Agriculture|Education and the Workforce,https://marymiller.house.gov
151,Illinois,16th,"LaHood, Darin",R,1424 LHOB,(202) 225-6201,Intelligence|Ways and Means|Select Comm on the Strategic Competition US and China,https://lahood.house.gov/
152,Illinois,17th,"Sorensen, Eric",D,1205 LHOB,(202) 225-5905,"Agriculture|Science, Space, and Technology",https://sorensen.house.gov
153,Indiana,1st,"Mrvan, Frank",D,1607 LHOB,(202) 225-2461,Education and the Workforce|Veterans' Affairs,https://mrvan.house.gov
154,Indiana,2nd,"Yakym, Rudy",R,349 CHOB,(202) 225-3915,Budget|Transportation and Infrastructure,https://yakym.house.gov
155,Indiana,3rd,"Banks, Jim",R,2418 RHOB,(202) 225-4436,Armed Services|Education and the Workforce|Select Comm on the Strategic Competition US and China,https://banks.house.gov
156,Indiana,4th,"Baird, James",R,2303 RHOB,(202) 225-5037,"Agriculture|Foreign Affairs|Science, Space, and Technology",https://baird.house.gov/
157,Indiana,5th,"Spartz, Victoria",R,1609 LHOB,(202) 225-2276,Judiciary,https://spartz.house.gov
158,Indiana,6th,"Pence, Greg",R,404 CHOB,(202) 225-3021,Energy and Commerce,https://pence.house.gov/
159,Indiana,7th,"Carson, Andre",D,2135 RHOB,(202) 225-4011,Intelligence|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://carson.house.gov/
160,Indiana,8th,"Bucshon, Larry",R,2313 RHOB,(202) 225-4636,Energy and Commerce,https://bucshon.house.gov/
161,Indiana,9th,"Houchin, Erin",R,1632 LHOB,(202) 225-5315,Financial Services|Education and the Workforce|Rules,https://houchin.house.gov
162,Iowa,1st,"Miller-Meeks, Mariannette",R,1034 LHOB,(202) 225-6576,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic|Veterans' Affairs,https://millermeeks.house.gov/
163,Iowa,2nd,"Hinson, Ashley",R,1717 LHOB,(202) 225-2911,Appropriations|Select Comm on the Strategic Competition US and China,https://hinson.house.gov
164,Iowa,3rd,"Nunn, Zachary",R,1232 LHOB,(202) 225-5476,Agriculture|Financial Services,https://nunn.house.gov
165,Iowa,4th,"Feenstra, Randy",R,1440 LHOB,(202) 225-4426,Agriculture|Ways and Means,https://feenstra.house.gov
166,Kansas,1st,"Mann, Tracey",R,344 CHOB,(202) 225-2715,Agriculture|Transportation and Infrastructure|Small Business,https://mann.house.gov
167,Kansas,2nd,"LaTurner, Jake",R,2441 RHOB,(202) 225-6601,Appropriations|Oversight and Accountability,https://laturner.house.gov
168,Kansas,3rd,"Davids, Sharice",D,2435 RHOB,(202) 225-2865,Agriculture|Transportation and Infrastructure|Small Business,https://davids.house.gov/
169,Kansas,4th,"Estes, Ron",R,2234 RHOB,(202) 225-6216,Budget|Education and the Workforce|Ways and Means,https://estes.house.gov/
170,Kentucky,1st,"Comer, James",R,2410 RHOB,(202) 225-3115,Education and the Workforce|Oversight and Accountability,https://comer.house.gov/
171,Kentucky,2nd,"Guthrie, Brett",R,2434 RHOB,(202) 225-3501,Energy and Commerce,https://guthrie.house.gov/
172,Kentucky,3rd,"McGarvey, Morgan",D,1527 LHOB,(202) 225-5401,Small Business|Veterans' Affairs,https://mcgarvey.house.gov
173,Kentucky,4th,"Massie, Thomas",R,2453 RHOB,(202) 225-3465,Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Transportation and Infrastructure|Rules,https://massie.house.gov
174,Kentucky,5th,"Rogers, Harold",R,2406 RHOB,(202) 225-4601,Appropriations,https://halrogers.house.gov/
175,Kentucky,6th,"Barr, Andy",R,2430 RHOB,(202) 225-4706,Financial Services|Foreign Affairs|Select Comm on the Strategic Competition US and China,https://barr.house.gov/
176,Louisiana,1st,"Scalise, Steve",R,2049 RHOB,(202) 225-3015,,https://scalise.house.gov/
177,Louisiana,2nd,"Carter, Troy",D,442 CHOB,(202) 225-6636,Homeland Security|Transportation and Infrastructure,https://troycarter.house.gov
178,Louisiana,3rd,"Higgins, Clay",R,572 CHOB,(202) 225-2031,Armed Services|Oversight and Accountability|Homeland Security,https://clayhiggins.house.gov
179,Louisiana,4th,"Johnson, Mike",R,568 CHOB,(202) 225-2777,,https://mikejohnson.house.gov
180,Louisiana,5th,"Letlow, Julia",R,142 CHOB,(202) 225-8490,Appropriations|Education and the Workforce,https://letlow.house.gov
181,Louisiana,6th,"Graves, Garret",R,2402 RHOB,(202) 225-3901,Natural Resources|Transportation and Infrastructure,https://garretgraves.house.gov/
182,Maine,1st,"Pingree, Chellie",D,2354 RHOB,(202) 225-6116,Agriculture|Appropriations,https://pingree.house.gov/
183,Maine,2nd,"Golden, Jared",D,1710 LHOB,(202) 225-6306,Armed Services|Small Business,https://golden.house.gov
184,Maryland,1st,"Harris, Andy",R,1536 LHOB,(202) 225-5311,Appropriations,https://harris.house.gov/
185,Maryland,2nd,"Ruppersberger, C.",D,2206 RHOB,(202) 225-3061,Appropriations,https://ruppersberger.house.gov
186,Maryland,3rd,"Sarbanes, John",D,2370 RHOB,(202) 225-4016,Energy and Commerce,https://sarbanes.house.gov/
187,Maryland,4th,"Ivey, Glenn",D,1529 LHOB,(202) 225-8699,Homeland Security|Judiciary|Ethics,https://ivey.house.gov
188,Maryland,5th,"Hoyer, Steny",D,1705 LHOB,(202) 225-4131,Appropriations,https://hoyer.house.gov/
189,Maryland,6th,"Trone, David",D,2404 RHOB,(202) 225-2721,Appropriations|Budget,https://trone.house.gov
190,Maryland,7th,"Mfume, Kweisi",D,2263 RHOB,(202) 225-4741,Foreign Affairs|Oversight and Accountability|Select Subcommittee on the Coronavirus Pandemic,https://mfume.house.gov/
191,Maryland,8th,"Raskin, Jamie",D,2242 RHOB,(202) 225-5341,Oversight and Accountability,https://raskin.house.gov
192,Massachusetts,1st,"Neal, Richard",D,372 CHOB,(202) 225-5601,Joint Committee on Taxation|Ways and Means,https://neal.house.gov/
193,Massachusetts,2nd,"McGovern, James",D,370 CHOB,(202) 225-6101,Agriculture|Rules,https://mcgovern.house.gov/
194,Massachusetts,3rd,"Trahan, Lori",D,2439 RHOB,(202) 225-3411,Energy and Commerce,https://trahan.house.gov
195,Massachusetts,4th,"Auchincloss, Jake",D,1524 LHOB,(202) 225-5931,Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://auchincloss.house.gov
196,Massachusetts,5th,"Clark, Katherine",D,2368 RHOB,(202) 225-2836,,https://katherineclark.house.gov/index.cfm/home
197,Massachusetts,6th,"Moulton, Seth",D,1126 LHOB,(202) 225-8020,Armed Services|Transportation and Infrastructure|Select Comm on the Strategic Competition US and China,https://moulton.house.gov/
198,Massachusetts,7th,"Pressley, Ayanna",D,402 CHOB,(202) 225-5111,Financial Services|Oversight and Accountability,https://pressley.house.gov
199,Massachusetts,8th,"Lynch, Stephen",D,2109 RHOB,(202) 225-8273,Financial Services|Select Subcommittee on the Weaponization of the Fed Govt|Oversight and Accountability,https://lynch.house.gov/
200,Massachusetts,9th,"Keating, William",D,2351 RHOB,(202) 225-3111,Armed Services|Foreign Affairs,https://keating.house.gov/
201,Michigan,1st,"Bergman, Jack",R,566 CHOB,(202) 225-4735,Armed Services|Budget|Veterans' Affairs,https://bergman.house.gov
