,representative_name,representative_state,representative_party,representative_committee,link,issues_catched
20,"Huffman, Jared",California,D,Natural Resources|Transportation and Infrastructure,https://huffman.house.gov/,
21,"Grijalva, Raul",Arizona,D,Education and the Workforce|Natural Resources,https://grijalva.house.gov/,
22,"Thompson, Mike",California,D,Ways and Means,https://mikethompson.house.gov/,"['Defense', 'Energy & Environment', 'Fiscal Responsibility', 'Health Care', 'Jobs & Economy', 'Veterans', 'Wine & Agriculture', 'Education', 'Gun Violence Prevention']"
23,"Bera, Ami",California,D,Foreign Affairs|Intelligence|Select Subcommittee on the Coronavirus Pandemic,https://bera.house.gov/,
24,"Westerman, Bruce",Arkansas,R,Natural Resources|Transportation and Infrastructure,https://westerman.house.gov/,"['Accountability', 'Education and Opportunity', 'Foreign Affairs', 'Health Care', 'Jobs and Economic Growth', 'Natural Resources', 'Security', 'Tax Relief', 'Transportation and Infrastructure', 'Veterans']"
25,"Kiley, Kevin",California,R,Education and the Workforce|Judiciary|Transportation and Infrastructure,https://kiley.house.gov/,
26,"Crawford, Eric",Arkansas,R,"Agriculture|Intelligence|Transportation and Infrastructure|Science, Space, and Technology",https://crawford.house.gov/,
27,"DeSaulnier, Mark",California,D,Education and the Workforce|Transportation and Infrastructure|Ethics,https://desaulnier.house.gov/,"['Transportation', 'Jobs and the Economy', 'Education', 'Energy and the Environment', 'Gun Violence Prevention', 'Health Care', ""Women's Rights"", 'Social Security and Medicare', 'Defense and Veterans', 'Housing']"
28,"Garamendi, John",California,D,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Transportation and Infrastructure,https://garamendi.house.gov/,
29,"Pelosi, Nancy",California,D,,https://pelosi.house.gov/,"['Education', 'Health Care', 'Housing', 'LEADERSHIP ON HIV/AIDS', 'National Security', 'Transportation', 'Energy and Environment', 'Human Rights', 'Internet Freedom', 'LGBTQ+']"
30,"Lee, Barbara",California,D,Appropriations|Budget,https://lee.house.gov/,
31,"Harder, Josh",California,D,Appropriations,https://harder.house.gov/,"['Costs', 'Public Safety', 'Health Care', 'Jobs & Education', 'Water', 'Agriculture', 'Veterans', 'Immigration', 'Bipartisanship', 'Homelessness']"
32,"McClintock, Tom",California,R,Budget|Natural Resources|Judiciary,https://mcclintock.house.gov/,"['Education', 'Fiscal and Economic', 'Government Regulation', 'Healthcare', 'Labor', 'Legislation', 'Local Issues', 'Natural Resources Committee', 'California', 'California Water Crisis']"
33,"Duarte, John",California,R,Agriculture|Natural Resources|Transportation and Infrastructure,https://duarte.house.gov/,
34,"Eshoo, Anna",California,D,Energy and Commerce,https://eshoo.house.gov/,"['Transportation & Infrastructure', 'Veterans & Military Families', 'Technology & Innovation', 'Education', 'Justice & Civil Rights', 'Immigration', 'Housing', 'Health Care', 'Foreign Affairs & National Security', 'Energy & Environment']"
35,"Khanna, Ro",California,D,Armed Services|Oversight and Accountability|Select Comm on the Strategic Competition US and China,https://khanna.house.gov/,"['Economy', 'Education', 'Energy and Environment', 'Equality and Social Justice', 'Foreign Policy and National Security', 'Government Reform', 'Health Care and the Social Safety Net', 'Housing', 'Immigration', 'Internet and Technology', 'Prioritizing Public Safety', 'Transportation Infrastructure', 'Veterans']"
36,"Panetta, Jimmy",California,D,Armed Services|Budget|Ways and Means,https://panetta.house.gov/,"['Agriculture', 'Education', 'Environment', 'Equality and Civil Rights', 'Health', 'Immigration', 'National Security', 'Veterans', 'Housing and Homelessness', 'Law Enforcement Reform']"
37,"Costa, Jim",California,D,Agriculture|Foreign Affairs,https://costa.house.gov/,
38,"Lofgren, Zoe",California,D,"Judiciary|Science, Space, and Technology",https://lofgren.house.gov/,"['Education', 'Energy and Environment', 'Foreign Policy and Human Rights', 'Growing a Strong Economy', 'Health Care', 'Immigration', 'Innovation and Technology', 'Cybersecurity', 'Energy', 'Environment']"
39,"Valadao, David",California,R,Appropriations|Budget|Joint Committee of Congress on the Library,https://valadao.house.gov/,
40,"Obernolte, Jay",California,R,"Energy and Commerce|Science, Space, and Technology",https://obernolte.house.gov/,"['Budget', 'Energy & Environment', 'Healthcare', 'Immigration & Border Security', 'Jobs & Economy', 'Law & Order', 'Military & Veterans', 'Natural Resources', 'Technology']"
41,"Carbajal, Salud",California,D,Agriculture|Armed Services|Transportation and Infrastructure,https://carbajal.house.gov/,
42,"Cardenas, Tony",California,D,Energy and Commerce,https://cardenas.house.gov/,
43,"Garcia, Mike",California,R,"Appropriations|Intelligence|Science, Space, and Technology",https://mikegarcia.house.gov/,
44,"Fong, Vince",California,R,"Transportation and Infrastructure|Science, Space, and Technology",https://fong.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans', 'Appropriations']"
45,"Swalwell, Eric",California,D,Homeland Security|Judiciary,https://swalwell.house.gov/,"['Economy & Jobs', 'Education & Our Kids', 'Energy & Environment', 'Fiscal Responsibility', 'Health Care', 'Seniors', 'Veterans & Military Affairs', 'Campaign, Election, & Government Reform', 'Equality For All', 'Gun Violence Prevention']"
46,"Schiff, Adam",California,D,Judiciary,https://schiff.house.gov/,
47,"Matsui, Doris",California,D,Energy and Commerce,https://matsui.house.gov/,"['Economy and Jobs', 'Health Care', 'Flood Protection', 'Clean Energy and Climate', 'Innovation and Technology', 'Veterans', 'Seniors', 'Transportation', 'Education', 'Environment']"
48,"Mullin, Kevin",California,D,"Natural Resources|Science, Space, and Technology",https://kevinmullin.house.gov/,
49,"Lieu, Ted",California,D,Foreign Affairs|Judiciary,https://lieu.house.gov/,
50,"Torres, Norma",California,D,Appropriations|House Administration,https://torres.house.gov/,
51,"Chu, Judy",California,D,Small Business|Ways and Means,https://chu.house.gov/,"['Energy and Environment', 'Education', 'Health Care', 'Immigration', 'San Gabriel Mountains', 'Seniors', 'Small Business, Jobs and the Economy', 'Transportation', 'Veterans', 'Civil and Voting Rights']"
52,"Gomez, Jimmy",California,D,Intelligence|Ways and Means,https://gomez.house.gov/,
53,"Brownley, Julia",California,D,Transportation and Infrastructure|Veterans' Affairs,https://juliabrownley.house.gov/,
54,"Takano, Mark",California,D,Education and the Workforce|Veterans' Affairs,https://takano.house.gov/,
55,"Ruiz, Raul",California,D,Energy and Commerce|Select Subcommittee on the Coronavirus Pandemic,https://ruiz.house.gov/,"['Energy and Environment', 'Health Care', 'Immigration', 'Jobs and Economy', 'Problem Solving and Bipartisanship', 'Senior Citizens', 'Veterans', 'Energía y medio ambiente']"
56,"Aguilar, Pete",California,D,Appropriations,https://aguilar.house.gov/,
57,"Napolitano, Grace",California,D,Natural Resources|Transportation and Infrastructure,https://napolitano.house.gov/,"['Economy', 'Education', 'Energy', 'Healthcare', 'Veterans', 'Water', 'Community Event', 'District Projects', 'Federal Appointments', 'Financial Services']"
58,"Steel, Michelle",California,R,Education and the Workforce|Ways and Means|Select Comm on the Strategic Competition US and China,https://steel.house.gov/,"['Economy and Jobs', 'Education', 'Energy and Environment', 'Health', 'Veterans', 'Foreign Affairs', 'Standing Up to the CCP']"
59,"Correa, J.",California,D,Homeland Security|Judiciary,https://correa.house.gov/,
60,"Sherman, Brad",California,D,Financial Services|Foreign Affairs,https://sherman.house.gov/,"['Economy Taxes and Trade', 'Energy Independence', 'Foreign Policy', 'Protecting Our Environment', 'U.S. - Greece Relationship', 'Fighting for Seniors', 'Taxes', 'Trade', 'Transportation', 'U.S. - Israel Relationship']"
61,"Waters, Maxine",California,D,Financial Services,https://waters.house.gov/,"['43rd District', 'Africa', ""Alzheimer's"", 'Criminal Justice', 'Diversity & Inclusion', 'Economic Security', 'Economy & Job Creation', 'Education', 'Energy & Environment', 'FCC and Communications Policy']"
62,"Sanchez, Linda",California,D,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://lindasanchez.house.gov/,"['Education and Student Loans', 'Energy and Environment', 'Health Care', 'Labor and Trade', 'National Security and Foreign Policy', 'Seniors', 'Small Business', 'Civil Rights and Equality', 'Housing and Homelessness', 'Immigration']"
63,"Kim, Young",California,R,Financial Services|Foreign Affairs,https://youngkim.house.gov/,
64,"Kamlager-Dove, Sydney",California,D,Foreign Affairs|Natural Resources,https://kamlager-dove.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
65,"Levin, Mike",California,D,Natural Resources|Veterans' Affairs,https://levin.house.gov/,
66,"Porter, Katie",California,D,Oversight and Accountability|Natural Resources,https://porter.house.gov/,
67,"Calvert, Ken",California,R,Appropriations,https://calvert.house.gov/,"['Agriculture', 'Defense', 'Education', 'Energy and the Environment', 'Ethics Approval', 'Health Care', 'Homeland Security and Illegal Immigration', 'Jobs, Economy and Federal Spending', 'Small Business', 'Social Security and Medicare', 'Taxes', 'Transportation', 'Veterans and Military Retirees', 'Water']"
68,"Barragan, Nanette",California,D,Energy and Commerce,https://barragan.house.gov/,
69,"Issa, Darrell",California,R,"Foreign Affairs|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary|Science, Space, and Technology",https://issa.house.gov/,"['Economy', 'Education', 'Energy and the Environment', 'Health', 'Veterans and the Military', 'Agriculture and Rural Affairs', 'Immigration', 'Foreign Affairs', 'Oversight and Accountability', 'Community Project Funding Requests']"
70,"Peters, Scott",California,D,Budget|Energy and Commerce,https://scottpeters.house.gov/,
71,"Jacobs, Sara",California,D,Armed Services|Foreign Affairs,https://sarajacobs.house.gov/,
72,"Vargas, Juan",California,D,Financial Services,https://vargas.house.gov/,
73,"Boebert, Lauren",Colorado,R,Oversight and Accountability|Natural Resources,https://boebert.house.gov/,"['Getting Things Done', 'Border Security', 'Inflation and the Economy', 'Energy and Natural Resources', 'Veterans and Defense', 'Agriculture', 'Water', 'Oversight and Accountability', 'Second Amendment', 'Taxes and Spending', 'Health', 'Pro-Life and Family Values', 'Constitutional Issues', 'Infrastructure and Transportation', 'Education', 'Standing up for Local Communities', 'Back the Blue', 'Election Integrity', 'Foreign Policy']"
74,"Neguse, Joe",Colorado,D,Natural Resources|Judiciary|Rules,https://neguse.house.gov/,
75,"Caraveo, Yadira",Colorado,D,"Agriculture|Science, Space, and Technology",https://caraveo.house.gov/,"['Lowering Costs', 'Rural Priorities', 'Energy', 'Drug Crisis', 'Service Members and Veterans', 'Immigration', 'Protecting Reproductive Rights', 'Securing the Future', ""Seniors' Issues"", 'Science and Aerospace']"
76,"Larson, John",Connecticut,D,Ways and Means,https://larson.house.gov/,"['Coltsville', ""Congressman Larson's Committees"", 'Connecticut Manufacturing', 'Connecticut’s Defense Industry', 'Crumbling Foundations', 'Defense', 'Economy', 'Education', 'Energy And Environment', 'Family and Medical Leave']"
77,"Pettersen, Brittany",Colorado,D,Financial Services,https://pettersen.house.gov/,
78,"Lopez, Greg",Colorado,R,"Budget|Science, Space, and Technology",https://lopez.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans', 'Immigration', 'Agriculture']"
79,"DeLauro, Rosa",Connecticut,D,Appropriations,https://delauro.house.gov/,"['Budget', 'Education', 'Energy', 'Health Care', 'Jobs and the Economy', 'National Security', 'Taxes', 'Food, Drug, and Medical Device Safety', 'Gun Violence', 'Housing']"
80,"Himes, James",Connecticut,D,Financial Services|Intelligence,https://himes.house.gov/,
81,"DeGette, Diana",Colorado,D,Energy and Commerce,https://degette.house.gov/,"['Combatting the Climate Crisis', 'Developing New Cures', 'Preventing Gun Violence', 'Price of Insulin', 'Protecting Colorado’s Wilderness', 'Teen Vaping Epidemic', 'Restoring Reproductive Rights']"
82,"Hayes, Jahana",Connecticut,D,Agriculture|Education and the Workforce,https://hayes.house.gov/,
83,"Blunt Rochester, Lisa",Delaware,D,Energy and Commerce,https://bluntrochester.house.gov/,
84,"Gaetz, Matt",Florida,R,Armed Services|Select Subcommittee on the Weaponization of the Fed Govt|Judiciary,https://gaetz.house.gov/,"['Congress', 'Education', 'Energy', 'Environment', 'Health', 'Jobs and the Economy', 'Veterans', 'Foreign Affairs', 'Judiciary', 'Law Enforcement']"
85,"Dunn, Neal",Florida,R,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://dunn.house.gov/,
86,"Lamborn, Doug",Colorado,R,Armed Services|Natural Resources,https://lamborn.house.gov/,"['Support of Israel', 'National Security and Foreign Affairs', 'Traditional Values and Pro-Life Efforts', 'Illegal Immigration', 'Veterans', 'Federal Spending and the Economy', 'Energy and Environment']"
87,"Cammack, Kat",Florida,R,Agriculture|Select Subcommittee on the Weaponization of the Fed Govt|Energy and Commerce,https://cammack.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
88,"Norton, Eleanor",District of Columbia,D,Oversight and Accountability|Transportation and Infrastructure,https://norton.house.gov/,
89,"Crow, Jason",Colorado,D,Foreign Affairs|Intelligence,https://crow.house.gov/,"['National Security', 'An Economy for the Working Class', 'Gun Violence Prevention', 'Lower Costs for Coloradans']"
90,"Waltz, Michael",Florida,R,Armed Services|Foreign Affairs|Oversight and Accountability|Intelligence,https://waltz.house.gov/,
91,"Frost, Maxwell",Florida,D,"Oversight and Accountability|Science, Space, and Technology",https://frost.house.gov/,
92,"Courtney, Joe",Connecticut,D,Armed Services|Education and the Workforce,https://courtney.house.gov/,"['AUKUS News', 'Agriculture', 'Defense & National Security', 'Economy & Jobs', 'Education', 'Energy & Environment', 'Health Care', 'Eastern Connecticut', 'Public Safety & Homeland Security', 'Seniors and Retirement Security', 'Transportation & Infrastructure', 'Veterans & Military Personnel', 'Infrastructure Investment and Jobs Act', 'Member-Designated Transportation Project Disclosure Page', 'FY2022 Community Project Funding Request Disclosure', 'Blue Water Navy Vietnam Veterans Act', 'Federal Resources to Eastern Connecticut', '2019 in Review', 'Engagement with Additional Federal Agencies', 'Frequently Asked Questions', 'Agent Orange Exposure Fairness Act', 'Lower Drug Costs Now Act', 'Legislative Action', 'Resources for Homeowners', 'Workplace Violence Prevention For Healthcare And Social Service Workers Act', 'Medicare Buy-In and Health Care Stabilization Act', 'Information For Homeowners With Crumbling Foundations', 'Seapower and Projection Forces Subcommittee', 'Repeal the Cadillac Tax']"
93,"Posey, Bill",Florida,R,"Financial Services|Science, Space, and Technology",https://posey.house.gov/,
94,"Soto, Darren",Florida,D,Agriculture|Energy and Commerce,https://soto.house.gov/,"['Agriculture', 'Economy', 'Education', 'Energy & Environment', 'Finance & Technology', 'Health', 'Immigration', 'Military & Veterans', 'Puerto Rico', 'Seniors', 'Transportation & Infrastructure', 'Women']"
95,"Bean, Aaron",Florida,R,Education and the Workforce|Transportation and Infrastructure|Small Business,https://bean.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
96,"Luna, Anna Paulina",Florida,R,Oversight and Accountability|Natural Resources,https://luna.house.gov/,
97,"Webster, Daniel",Florida,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://webster.house.gov/,
98,"Mills, Cory",Florida,R,Armed Services|Foreign Affairs,https://mills.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
99,"Castor, Kathy",Florida,D,Energy and Commerce|Select Comm on the Strategic Competition US and China,https://castor.house.gov/,
100,"Lee, Laurel",Florida,R,House Administration|Homeland Security|Judiciary,https://laurellee.house.gov/,"['Law Enforcement and Community Safety', 'Economy', 'Education', 'Energy', 'Second Amendment', 'Veterans']"
101,"Buchanan, Vern",Florida,R,Joint Committee on Taxation|Ways and Means,https://buchanan.house.gov/,
102,"Rutherford, John",Florida,R,Appropriations|Ethics,https://rutherford.house.gov/,"['Congress', 'Environment', 'Hurricane Preparedness', 'Immigration', 'Military and Veterans', 'Economy', 'Community Safety', 'Education', 'Health Care']"
103,"Bilirakis, Gus",Florida,R,Energy and Commerce,https://bilirakis.house.gov/,"['Defense', 'Economic Policy', 'Education', 'Environment, Energy Production, and Infrastructure', 'Flood Insurance', 'Foreign Affairs', 'Health Care', 'Homeland Security', 'Immigration', 'Seniors']"
104,"Donalds, Byron",Florida,R,Financial Services|Oversight and Accountability,https://donalds.house.gov/,
105,"Franklin, Scott",Florida,R,"Appropriations|Science, Space, and Technology|Veterans' Affairs",https://franklin.house.gov/,
106,"Frankel, Lois",Florida,D,Appropriations,https://frankel.house.gov/,
107,"Wasserman Schultz, Debbie",Florida,D,Appropriations|Select Subcommittee on the Weaponization of the Fed Govt,https://wassermanschultz.house.gov/,
108,"Mast, Brian",Florida,R,Foreign Affairs|Transportation and Infrastructure,https://mast.house.gov/,
109,"Cherfilus-McCormick, Sheila",Florida,D,Foreign Affairs|Veterans' Affairs,https://cherfilus-mccormick.house.gov/,"['Congress', 'Economy', 'Education', 'Health', 'Veterans', 'Housing', 'Project 2025']"
110,"Wilson, Frederica",Florida,D,Education and the Workforce|Transportation and Infrastructure,https://wilson.house.gov/,
111,"Garcia, Robert",California,D,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://robertgarcia.house.gov/,"['Defending Democracy', 'Fighting for Immigrant Families', 'Expanding Protections for the LGBTQI+ Community', 'Upholding Civil Rights', 'Defending the Right to Abortion', 'Protecting Public Health', 'Ending the Gun Violence Epidemic', 'Reducing Emissions Through Green Jobs and Technology', 'Providing Safe, Affordable Housing for Every American', 'Raising Wages for Working Families']"
112,"Carter, Earl",Georgia,R,Budget|Energy and Commerce,https://buddycarter.house.gov/,
113,"Steube, W.",Florida,R,Select Subcommittee on the Weaponization of the Fed Govt|Ways and Means,https://steube.house.gov/,
114,"Moskowitz, Jared",Florida,D,Foreign Affairs|Oversight and Accountability,https://moskowitz.house.gov/,
115,"Gimenez, Carlos",Florida,R,Armed Services|Homeland Security|Select Comm on the Strategic Competition US and China,https://gimenez.house.gov/,
116,"Diaz-Balart, Mario",Florida,R,Appropriations,https://mariodiazbalart.house.gov/,"['Defense/National Security', 'Energy', 'Everglades Restoration', 'Fiscal Responsibility', 'Hurricane Preparedness and Recovery', 'Immigration', 'Improving Education', 'Tax Relief', 'Appropriations', 'Cuba']"
117,"Ferguson, A.",Georgia,R,Budget|Ways and Means,https://ferguson.house.gov/,
118,"Salazar, Maria",Florida,R,Foreign Affairs|Small Business,https://salazar.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
119,"Williams, Nikema",Georgia,D,Financial Services,https://nikemawilliams.house.gov/,
120,"Scott, Austin",Georgia,R,Agriculture|Armed Services|Intelligence|Rules,https://austinscott.house.gov/,
121,"Collins, Mike",Georgia,R,"Natural Resources|Transportation and Infrastructure|Science, Space, and Technology",https://collins.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
122,"McBath, Lucy",Georgia,D,Education and the Workforce|Judiciary,https://mcbath.house.gov/,
123,"Clyde, Andrew",Georgia,R,Appropriations,https://clyde.house.gov/,
124,"Loudermilk, Barry",Georgia,R,Financial Services|House Administration,https://loudermilk.house.gov/,
125,"Scott, David",Georgia,D,Agriculture|Financial Services,https://davidscott.house.gov/,
126,"McCormick, Richard",Georgia,R,"Armed Services|Foreign Affairs|Science, Space, and Technology|Select Subcommittee on the Coronavirus Pandemic",https://mccormick.house.gov/,"['A Freedom Agenda for Congress', 'Jobs and Economy', 'School Choice and Education', 'American Energy', 'Healthy Families', ""Serving America's Veterans""]"
127,"Greene, Marjorie",Georgia,R,Oversight and Accountability|Homeland Security|Select Subcommittee on the Coronavirus Pandemic,https://greene.house.gov/,
128,"Allen, Rick",Georgia,R,Education and the Workforce|Energy and Commerce,https://allen.house.gov/,
129,"Johnson, Henry",Georgia,D,Judiciary|Transportation and Infrastructure,https://hankjohnson.house.gov/,"['Armed Services and Veterans Affairs', 'Consumer Protection', 'Economy and Jobs', 'Education', 'Energy', 'Environment', 'Gun Violence Prevention', 'Health Care', 'Housing', 'Immigration', 'Justice & Court Reform', 'National Security and Foreign Policy', 'Seniors and Social Security', 'Transportation & Infrastructure']"
130,"Bishop, Sanford",Georgia,D,Agriculture|Appropriations,https://bishop.house.gov/,"['Armed Services', 'Education', 'Energy, Conservation, & Interior Department', 'Federal Budget, Appropriations, & Taxes', 'Healthcare', 'Helping Families', 'Housing and Community Development', 'Jobs & Workforce', 'Senior Citizens', '2nd Amendment Rights', 'Agriculture & Rural Development', 'Fiscal Discipline', 'Public Service & Crime Prevention', 'Veterans', 'Business & Employers', 'Disaster Relief & Preparedness', 'Foreign Affairs', 'Homeland Security', 'Immigration', 'Building Our Communities', 'Economy, Financial Services, & Trade', 'Taxes', 'Transportation & Infrastructure', 'Federal Budget, Jobs, & the Economy', 'Fiscal Responsibility', 'ACA Healthcare Marketplace', 'Program Awards & Announcements', 'Science, Technology, & Telecommunications', 'Native American Communities', 'Community Groups & News', 'Healthcare, Social Security, & Support Programs', 'Law, Individual Rights, & Equality', 'Voting & Civil Rights', 'Military, Veterans, & National Security', 'Public Lands & Environment']"
131,"Case, Ed",Hawaii,D,Appropriations|Natural Resources,https://case.house.gov/,
132,"Simpson, Michael",Idaho,R,Appropriations,https://simpson.house.gov/,
133,"Quigley, Mike",Illinois,D,Appropriations,https://quigley.house.gov/,"['Economy and Jobs', 'Education', 'Energy and Environment', 'Health Care', 'Immigration', 'Defense and Foreign Affairs', 'Equality', 'Transportation and Infrastructure', 'Appropriations', 'Gun Violence Prevention', 'Reproductive Rights', 'Government Transparency', 'Protecting Democracy', 'Racial Justice']"
134,"Fulcher, Russ",Idaho,R,Energy and Commerce|Natural Resources,https://fulcher.house.gov/,
135,"Casten, Sean",Illinois,D,"Financial Services|Science, Space, and Technology",https://casten.house.gov/,
136,"Tokuda, Jill",Hawaii,D,Agriculture|Armed Services|Select Subcommittee on the Coronavirus Pandemic,https://tokuda.house.gov/,
137,"Schakowsky, Janice",Illinois,D,Budget|Energy and Commerce,https://schakowsky.house.gov/,"['Affordable Care Act', 'Affordable Housing', 'American Dream and Promise Act', 'Auto Safety', ""Children's Product Safety"", 'Civil and Human Rights', 'Clean Air/Clean Water', 'Climate Change', 'Commonsense Budgeting for All', 'Comprehensive Immigration Reform']"
138,"Moylan, James",Guam,R,Armed Services|Foreign Affairs|Natural Resources,https://moylan.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans', 'COMMUNITY PROJECT FUNDING REQUESTS']"
139,"Foster, Bill",Illinois,D,Financial Services,https://foster.house.gov/,"['Economic Security and Financial Services', 'Education', 'Energy and Environment', 'Lowering Health Care Costs', 'Veterans Issues', 'Civil Rights and Judiciary Issues', 'Gun Violence Prevention', 'Immigration', 'Infrastructure and Transportation', 'Opioid Crisis', 'Science and Technology', 'Reproductive Rights', 'Protecting Democracy', 'Foreign Affairs and National Security', 'Supporting Small Businesses', 'Labor Issues', 'Israel-Hamas War']"
140,"Budzinski, Nikki",Illinois,D,Agriculture|Veterans' Affairs,https://budzinski.house.gov/,
141,"Bost, Mike",Illinois,R,Agriculture|Transportation and Infrastructure|Veterans' Affairs,https://bost.house.gov/,
142,"Davis, Danny",Illinois,D,Ways and Means,https://davis.house.gov/,"['Congress', 'Defense & National Security', 'Economy and Jobs', 'Education', 'Energy', 'Federal Budget', 'Health Care', 'Immigration', 'National Debt', 'COVID-19']"
143,"Jackson, Jonathan",Illinois,D,Agriculture|Foreign Affairs,https://jonathanjackson.house.gov/,"['Congress', 'Economy', 'Education', 'Energy', 'Health', 'Veterans']"
144,"Garcia, Jesus",Illinois,D,Judiciary|Transportation and Infrastructure,https://chuygarcia.house.gov/,"['Agriculture', 'Chicago', 'Civil Rights and Women’s Issues', 'Coronavirus', 'Criminal Justice Reform and Gun Safety', 'Education', 'Environment', 'Financial Services', 'Foreign Affairs', 'Health', 'Housing', 'Immigration', 'Judiciary Issues/Oversight', 'Labor', 'Postal Issues', 'Science and Technology', 'Transportation and Infrastructure', 'Veterans Affairs and Armed Services', 'Voting Rights and Campaign Finance Reform', 'Puerto Rico']"
145,"Ramirez, Delia",Illinois,D,Homeland Security|Veterans' Affairs,https://ramirez.house.gov/,"['Education', 'Health Care', 'Veterans', 'Immigration', 'Housing', 'Democracy', 'Jobs and the Economy', 'Environment, Conservation, and Infrastructure', 'Peace Building and Security']"
146,"Schneider, Bradley",Illinois,D,Foreign Affairs|Ways and Means,https://schneider.house.gov/,"['Economy & Jobs', 'Education', 'Environment', 'Gun Violence', 'Health Care', 'Immigration Reform', 'Seniors', 'Fiscal Responsibility']"
147,"Underwood, Lauren",Illinois,D,Appropriations,https://underwood.house.gov/,
